y_High,y_Low,y_Today,y_Direction,Lag1,Lag2,Lag3,Lag4,Lag5,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,FXI.Lag1,FXI.Lag2,FXI.Lag3,FXI.Lag4,FXI.Lag5,FXI.P1,FXI.P2,FXI.P3,FXI.P4,FXI.P5,FXI.P6,FXI.P7,FXI.P8,FXI.P9,FXI.P10,EWU.Lag1,EWU.Lag2,EWU.Lag3,EWU.Lag4,EWU.Lag5,EWU.P1,EWU.P2,EWU.P3,EWU.P4,EWU.P5,EWU.P6,EWU.P7,EWU.P8,EWU.P9,EWU.P10,EWJ.Lag1,EWJ.Lag2,EWJ.Lag3,EWJ.Lag4,EWJ.Lag5,EWJ.P1,EWJ.P2,EWJ.P3,EWJ.P4,EWJ.P5,EWJ.P6,EWJ.P7,EWJ.P8,EWJ.P9,EWJ.P10,EWG.Lag1,EWG.Lag2,EWG.Lag3,EWG.Lag4,EWG.Lag5,EWG.P1,EWG.P2,EWG.P3,EWG.P4,EWG.P5,EWG.P6,EWG.P7,EWG.P8,EWG.P9,EWG.P10,VIX.Lag1,VIX.Lag2,VIX.Lag3,VIX.Lag4,VIX.Lag5,VIX.P1,VIX.P2,VIX.P3,VIX.P4,VIX.P5,VIX.P6,VIX.P7,VIX.P8,VIX.P9,VIX.P10
0.007901069,0,0.007724972,Up,-0.003351233,0.007123153,-0.008351605,0.006652934,-0.002428414,0.072302614,-0.037799907,-0.000383979,0.006742642,0.007378701,0.019606873,0.065614167,0.029559258,0.077469347,0.012087583,-0.003259121,0.00270709,-0.011129192,0.024429341,-0.012382658,0.283596562,-0.110926423,-0.000488677,0.014932392,0.011965644,0.051524455,0.07729183,0.05227177,0.082772047,0.01582532,-0.007726197,0.008214536,-0.004969727,-0.002747156,0.003287796,0.656667657,0.254097139,-0.003738776,0.006463774,0.007513945,0.017866263,0.03729566,0.026293145,0.071183226,0.014388517,-0.009371946,0.003714037,0,0.007455535,0.005633763,-0.237414897,-0.283988883,-0.003734757,0.006669082,0.008650973,0.041753797,0.106982933,0.041431632,0.10920541,0.010328709,-0.017451265,0.008376338,-0.014078614,0.00952,-0.007208545,0.515323224,0.668086693,-0.012424865,0.012536268,0.010637961,0.022436214,0.071959741,0.027184987,0.108412107,0.024022843,0.012372635,-0.030950626,0.094353109,-0.135753749,0.071577484,0.072302614,-0.037799907,0.004973669,0.091568339,0.07224259,0.395741967,0.508341623,0.169463706,0.249812452,0.179176755
0.000191797,-0.007590628,-0.000588696,Down,0.007724972,-0.003351233,0.007123153,-0.008351605,0.006652934,-0.107661906,-0.079667466,0.005399366,0.007356206,0.007408113,0.018923242,0.064880161,0.030544836,0.078423167,0.007901069,0.013133103,-0.003259121,0.00270709,-0.011129192,0.024429341,-0.166502559,-0.163598174,0.007506924,0.01393837,0.011929285,0.05377798,0.077164079,0.050240691,0.082880817,0.00999198,0.004395771,-0.007726197,0.008214536,-0.004969727,-0.002747156,-1.521467798,-0.37610964,0.001210355,0.006654616,0.007522538,0.017941176,0.036752101,0.026221482,0.071669941,0.004966777,0.009284928,-0.009371946,0.003714037,0,0.007455535,0.417609601,0.290566983,0.003353811,0.00739692,0.008655175,0.039675454,0.104998574,0.043344016,0.110802234,0.006542126,0.002832901,-0.017451265,0.008376338,-0.014078614,0.00952,0.407990475,1.018878939,-0.007550795,0.012730299,0.010637464,0.022763634,0.071119166,0.026873458,0.109111243,0.010162602,-0.07595928,0.012372635,-0.030950626,0.094353109,-0.135753749,-0.107661906,-0.079667466,-0.043302367,0.087345008,0.072577709,0.396323526,0.51340543,0.169117649,0.247293921,0.040977147
0.004754169,-0.001132559,0.004040279,Up,-0.000588696,0.007724972,-0.003351233,0.007123153,-0.008351605,0.01542442,-0.038423339,0.004273214,0.00689989,0.007409338,0.017963248,0.063788552,0.031458223,0.079367877,0.00784195,0.001071,0.013133103,-0.003259121,0.00270709,-0.011129192,0.104726727,0.056173516,0.008042717,0.008862302,0.011923315,0.056059628,0.076986552,0.048184265,0.083031967,0.011372813,-0.003861169,0.004395771,-0.007726197,0.008214536,-0.004969727,-0.258561106,-0.348386833,-0.001871865,0.006763633,0.007531971,0.018372171,0.036232559,0.025809185,0.072135149,0.0100223,0.004621188,0.009284928,-0.009371946,0.003714037,0,-0.81398145,-0.204612211,0.006324477,0.006992605,0.00861851,0.042021059,0.108018146,0.045616572,0.112492748,0.008379912,-0.016872562,0.002832901,-0.017451265,0.008376338,-0.014078614,-2.585134494,-0.433002562,-0.016831312,0.012134237,0.010767961,0.023924948,0.070521448,0.026169224,0.109608387,0.009124803,0.028897338,-0.07595928,0.012372635,-0.030950626,0.094353109,0.01542442,-0.038423339,-0.021868492,0.064135621,0.072498876,0.394580301,0.518919576,0.170154955,0.24455141,0.077101002
0.000879438,-0.006831531,-0.004493683,Down,0.004040279,-0.000588696,0.007724972,-0.003351233,0.007123153,0.118092627,0.085953757,0.005325184,0.004837982,0.00734938,0.020409593,0.066448299,0.032483992,0.080253836,0.005893403,-0.011372654,0.001071,0.013133103,-0.003259121,0.00270709,-0.176608749,-0.063507966,-0.003776487,0.008942507,0.011699516,0.058944141,0.077190988,0.045584483,0.082857906,0.009547136,0.007663016,-0.003861169,0.004395771,-0.007726197,0.008214536,0.166317444,-0.223225911,0.004066957,0.007159553,0.007461142,0.018559669,0.035763827,0.025629822,0.072554863,0.007692252,-0.001851796,0.004621188,0.009284928,-0.009371946,0.003714037,0.448439202,0.296744472,0.00315818,0.007149109,0.008588225,0.039485,0.106038885,0.047939339,0.114078109,0.005586639,0.006947399,-0.016872562,0.002832901,-0.017451265,0.008376338,0.049033505,-0.401693916,-0.006818698,0.012878365,0.010759556,0.02511632,0.06993317,0.025036139,0.11009768,0.006565449,-0.035433071,0.028897338,-0.07595928,0.012372635,-0.030950626,0.118092627,0.085953757,-0.036857273,0.041618036,0.071732559,0.395536826,0.522982084,0.169585775,0.242530884,0.042264753
0.007355147,0,0.005145649,Up,-0.004493683,0.004040279,-0.000588696,0.007724972,-0.003351233,-0.200257164,-0.083469215,0.000151133,0.005136866,0.007294999,0.019508182,0.065376924,0.033338677,0.081177831,0.007764009,-0.012335791,-0.011372654,0.001071,0.013133103,-0.003259121,0.116714872,0.01248026,-0.01346755,0.01040643,0.011738127,0.062422713,0.077440061,0.042449282,0.08264584,0.014863666,-0.006057481,0.007663016,-0.003861169,0.004395771,-0.007726197,0.23853211,-0.040272567,-0.000880373,0.006765715,0.007394088,0.01874724,0.035245032,0.025450388,0.073019402,0.010491358,-0.040462324,-0.001851796,0.004621188,0.009284928,-0.009371946,-0.125965039,0.103838568,-0.028817234,0.019688591,0.009525171,0.038022386,0.104461965,0.049278943,0.115341199,0.010607473,-0.004928283,0.006947399,-0.016872562,0.002832901,-0.017451265,-0.250604351,-0.511136322,-0.005879085,0.011136563,0.010711791,0.025953306,0.069288563,0.024240101,0.110633823,0.00947672,0.064801178,-0.035433071,0.028897338,-0.07595928,0.012372635,-0.200257164,-0.083469215,0.029723992,0.055242607,0.071853824,0.392398872,0.527086909,0.171453014,0.240489312,0.059577677
0.000776928,-0.013023373,-0.010658535,Down,0.005145649,-0.004493683,0.004040279,-0.000588696,0.007724972,0.168787136,0.092892713,0.002940642,0.004874262,0.007306029,0.019083252,0.064990427,0.034393892,0.082131223,0.007355147,0.000274174,-0.012335791,-0.011372654,0.001071,0.013133103,-0.027317559,0.008417994,-0.011432558,0.01046626,0.011702723,0.042742525,0.077777856,0.039217218,0.082358234,0.008237315,0.00710778,-0.006057481,0.007663016,-0.003861169,0.004395771,-0.033814433,0.161899286,0.004393161,0.006384788,0.007420237,0.018634689,0.03463446,0.025558057,0.073566122,0.007107654,0.012369012,-0.040462324,-0.001851796,0.004621188,0.009284928,0.58303496,0.911945728,-0.013701225,0.021504282,0.009586926,0.036034536,0.102743414,0.045354329,0.116717736,0.009606196,0.015763866,-0.004928283,0.006947399,-0.016872562,0.002832901,0.452833932,-0.04125716,0.009219086,0.012358802,0.010818453,0.026090655,0.068469677,0.024109471,0.11131492,0.010957833,-0.062597809,0.064801178,-0.035433071,0.028897338,-0.07595928,0.168787136,0.092892713,-0.016620499,0.060598473,0.071900334,0.391310715,0.532897867,0.172100522,0.237599179,0.032915361
0.005734757,-0.000752995,0.004032128,Up,-0.010658535,0.005145649,-0.004493683,0.004040279,-0.000588696,0.184319597,0.242192342,-0.006357028,0.006487529,0.007365456,0.018581953,0.064086144,0.034868885,0.082910585,0.013982399,-0.017284747,0.000274174,-0.012335791,-0.011372654,0.001071,0.262574639,0.265350648,-0.020587663,0.008171607,0.011789285,0.036485556,0.078376807,0.048650546,0.081848276,0.019015689,-0.006050708,0.00710778,-0.006057481,0.007663016,-0.003861169,0.37692703,0.578968721,-0.001428188,0.007020823,0.007369224,0.018859818,0.034202087,0.025342695,0.073953277,0.011019339,-0.003820246,0.012369012,-0.040462324,-0.001851796,0.004621188,-0.545555317,0.158522745,-0.011891172,0.020369674,0.009601524,0.034680541,0.101097191,0.046601956,0.118036338,0.012428322,-0.0028374,0.015763866,-0.004928283,0.006947399,-0.016872562,-0.144323915,0.163288903,0.006692197,0.012379876,0.010790974,0.027039318,0.06777439,0.02320722,0.111893216,0.0117743,0.100633357,-0.062597809,0.064801178,-0.035433071,0.028897338,0.184319597,0.242192342,0.069707919,0.067971563,0.07256276,0.38488465,0.536391173,0.175924352,0.235861751,0.161648177
0,-0.013128361,-0.004313421,Down,0.004032128,-0.010658535,0.005145649,-0.004493683,0.004040279,-0.211880012,-0.001647102,-0.001967941,0.006930169,0.006921908,0.017525223,0.06289445,0.035870162,0.083937654,0.006492642,0.002780256,-0.017284747,0.000274174,-0.012335791,-0.011372654,-0.045887576,0.160270296,-0.010399409,0.008663235,0.011589889,0.039306339,0.078718282,0.046061459,0.081557537,0.011239168,0,-0.006050708,0.00710778,-0.006057481,0.007663016,-0.632550336,-0.091255622,-0.00197636,0.006729201,0.007178844,0.018615934,0.033610708,0.025575998,0.074482811,0.008319467,0.039449394,-0.003820246,0.012369012,-0.040462324,-0.001851796,0.003229067,0.01978925,0.027139036,0.028974163,0.010227386,0.039646419,0.106978881,0.049057219,0.119832918,0.006451567,0.001214753,-0.0028374,0.015763866,-0.004928283,0.006947399,-0.996876732,-0.38240455,0.004636899,0.008341897,0.010533398,0.027466095,0.066844381,0.022801323,0.112666738,0.011851288,-0.023038157,0.100633357,-0.062597809,0.064801178,-0.035433071,-0.211880012,-0.001647102,0.034097677,0.070066666,0.072093614,0.387549317,0.541802323,0.174338742,0.233170466,0.064794816
0.006302738,-0.00299368,0.006263262,Up,-0.004313421,0.004032128,-0.010658535,0.005145649,-0.004493683,0.046862244,0.034433344,-0.004227245,0.006594902,0.006809845,0.016408618,0.061631343,0.036928172,0.08502627,0.013303007,-0.009259339,0.002780256,-0.017284747,0.000274174,-0.012335791,0.428099922,0.631712894,-0.012468811,0.00848207,0.011441041,0.041957277,0.078940813,0.049760486,0.08136807,0.02524386,-0.004975186,0,-0.006050708,0.00710778,-0.006057481,0.48664944,0.464799394,-0.00495057,0.005671742,0.007105145,0.018278437,0.032963893,0.025898853,0.075061983,0.015143045,0.005474315,0.039449394,-0.003820246,0.012369012,-0.040462324,0.287915198,0.25745077,0.029687926,0.028970487,0.010212378,0.042089078,0.110697353,0.050139501,0.121710831,0.011970534,-0.013957303,0.001214753,-0.0028374,0.015763866,-0.004928283,0.151594153,-0.235709153,-0.008304721,0.010869894,0.010568793,0.027700283,0.065955186,0.022578593,0.113406313,0.007021892,0.002155172,-0.023038157,0.100633357,-0.062597809,0.064801178,0.046862244,0.034433344,0.017841474,0.066024369,0.072049301,0.391956603,0.54659871,0.171716187,0.230784939,0.129148629
0.006922319,-0.001375436,0.003531814,Up,0.006263262,-0.004313421,0.004032128,-0.010658535,0.005145649,-0.217618249,-0.157093,0.001933245,0.007316594,0.006828649,0.015368647,0.060317892,0.03791357,0.086158276,0.009324332,-0.000280625,-0.009259339,0.002780256,-0.017284747,0.000274174,-1.257491616,-0.274795011,-0.008073471,0.008357277,0.011440218,0.044659005,0.079149558,0.047563853,0.081240223,0.013027442,-0.002771375,-0.004975186,0,-0.006050708,0.00710778,-0.147091515,0.163796821,-0.006388936,0.005258677,0.007107131,0.01833466,0.032323965,0.025845069,0.075634989,0.005574164,0.00993694,0.005474315,0.039449394,-0.003820246,0.012369012,-0.134398373,0.001639681,0.026711222,0.016189515,0.010240249,0.049421739,0.119332087,0.052960928,0.12367823,0.012785434,0.002048118,-0.013957303,0.001214753,-0.0028374,0.015763866,-0.746901598,-0.527194939,-0.006754651,0.010677437,0.01053068,0.028196575,0.064967482,0.022106581,0.114227823,0.005349836,-0.055344958,0.002155172,-0.023038157,0.100633357,-0.062597809,-0.217618249,-0.157093,-0.030004412,0.06586405,0.072211246,0.395297572,0.552326033,0.169728143,0.227936402,0.099317665
